"name","url"
"Stamford University Bangladesh","http://www.stamforduniversity.edu.bd/"
"Stanto Mariam University of Creative Technology","http://www.shantomariamedu.com/"
"State University of Bangladesh","http://www.subd.net/"
"Sylhet International University","http://www.siu.edu.bd/"
"Sylhet Mag Osmani Medical College","http://www.magosmanimedical.com/"
"United International University","http://www.uiu.ac.bd/"
"University of Asia Pacific Bangladesh","http://www.uap-bd.edu/"
"University of Chittagong","http://www.cu.ac.bd/"
"University of Development Alternative","http://www.uoda.edu.bd/"
"University of Dhaka","http://www.univdhaka.edu/"
"Sciences","http://www.uits-bd.org/"
"University of Liberal Arts Bangladesh","http://www.ulab.edu.bd/"
"University of Science and Technology Chittagong","http://www.ustc.edu.bd/"
"University of South Asia","http://www.unisa.ac.bd/"
"Uttara University","http://www.uttarauniversity.edu.bd/"
"Victoria University of Bangladesh","http://www.vub.edu.bd/"
"World University of Bangladesh","http://www.wub.edu/"
"University of the West Indies Cave Hill Campus Barbados","http://www.cavehill.uwi.edu/"
"Academy of Postgraduate Education","http://www.academy.edu.by/"
"Academy of Public Administration of the President of the Republic of Belarus","http://www.pacademy.edu.by/"
